Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3005,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,254780.07356808914,0.0,0.0,0.0,612361.6703172618,0.0,0.0,0.0,100296.44896660831,70198.57421980375,17374.47231490421,712658.1192838701,1.0
 ,3006,76830.16894202324,185955.04306312642,16529.337161166794,13829.430409564184,0.0,0.0,0.0,132234.69728933435,2699.9067516026107,0.0,257479.98031969173,0.0,0.0,0.0,674794.4780381796,0.0,0.0,0.0,0.0,70198.57421980375,16529.337161166794,674794.4780381795,1.0
 ,3007,76830.16894202324,181574.54476819345,16139.959534950529,13829.430409564184,0.0,0.0,0.0,129119.67627960423,2310.529125386346,0.0,259790.50944507806,0.0,0.0,0.0,659660.0997902025,0.0,0.0,0.0,0.0,70198.57421980375,16139.959534950529,659660.0997902023,1.0
 ,3008,76830.16894202324,189092.2538716837,16808.200344149664,13829.430409564184,0.0,0.0,0.0,134465.6027531973,2978.769934585477,0.0,262769.2793796635,0.0,0.0,0.0,618944.7215834417,0.0,0.0,0.0,70198.57421980375,0.0,16808.200344149664,689143.2958032456,1.0
 ,3009,76830.16894202324,175206.52557301318,15573.913384267838,13829.430409564184,0.0,0.0,0.0,124591.30707414271,1744.4829747036558,0.0,264513.7623543672,0.0,0.0,0.0,637658.9472496988,0.0,0.0,0.0,0.0,0.0,15573.913384267838,637658.9472496987,1.0
 ,3010,76830.16894202324,194292.87599539998,17270.477866257777,13829.430409564184,0.0,0.0,0.0,138163.82293006222,3441.0474566935954,0.0,267954.8098110608,0.0,0.0,0.0,703601.227606244,0.0,0.0,0.0,0.0,0.0,17270.477866257777,703601.2276062439,1.0
 ,3011,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,271499.8517164008,0.0,0.0,0.0,830014.0491979907,0.0,122370.7523624511,0.0,0.0,0.0,17374.47231490421,707643.2968355396,1.0
 ,3012,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,275044.8936217408,0.0,0.0,0.0,810303.6017730837,0.0,0.0,97771.71898813722,0.0,97771.71898813722,17374.47231490421,712531.8827849465,1.0
 ,3013,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,278589.93552708084,0.0,0.0,0.0,733999.0116197295,0.0,26355.71478418987,0.0,0.0,97771.71898813722,17374.47231490421,707643.2968355396,1.0
 ,3014,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,282134.9774324209,0.0,0.0,0.0,709954.1858775596,0.0,95194.02208075025,0.0,97771.71898813722,0.0,17374.47231490421,712531.8827849465,1.0
 ,3015,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,285680.0193377609,0.0,0.0,0.0,760925.7956429347,0.0,53282.49880739515,0.0,0.0,0.0,17374.47231490421,707643.2968355396,1.0
 ,3016,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,289225.06124310096,0.0,0.0,0.0,785058.6034305096,0.0,0.0,73728.86342378079,0.0,73728.86342378079,17374.47231490421,711329.7400067287,1.0
 ,3017,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,9650.151602119242,6105.109696779215,292770.103148441,0.0,0.0,0.0,784332.1618094879,0.0,0.0,67571.48748473874,0.0,141300.35090851953,17374.47231490421,716760.674324749,1.0
 ,3018,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,296315.14505378105,0.0,0.0,0.0,772484.4237948586,0.0,64841.12695931904,0.0,0.0,141300.35090851953,17374.47231490421,707643.2968355396,1.0
 ,3019,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,299860.1869591211,0.0,0.0,0.0,747335.1479031611,0.0,0.0,37801.76292154417,0.0,179102.1138300637,17374.47231490421,709533.3849816169,1.0
 ,3020,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,303405.2288644611,0.0,0.0,0.0,727986.7522142237,0.0,0.0,19374.719408270437,0.0,198476.83323833413,17374.47231490421,708612.0328059532,1.0
 ,3021,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,306950.27076980117,0.0,0.0,0.0,706176.4581395678,0.0,0.0,0.0,1544.0407326005807,196932.79250573355,17374.47231490421,707720.4988721696,1.0
 ,3022,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,310495.3126751412,0.0,0.0,0.0,706331.4003645502,0.0,0.0,0.0,1380.9436536731905,195551.84885206036,17374.47231490421,707712.3440182233,1.0
 ,3023,76830.16894202324,190285.36776270185,16914.254912240165,13829.430409564184,0.0,0.0,0.0,135314.03929792132,3084.8245026759696,0.0,313580.1371778172,0.0,0.0,0.0,658750.6480768768,0.0,0.0,0.0,32636.6960260435,162915.15282601686,16914.254912240165,691387.3441029203,1.0
 ,3024,76830.16894202324,186961.27201061166,16618.77973427659,13829.430409564184,0.0,0.0,0.0,132950.23787421273,2789.3493247124075,0.0,316369.4865025296,0.0,0.0,0.0,678270.9431501328,0.0,0.0,0.0,0.0,162915.15282601686,16618.77973427659,678270.9431501327,1.0
 ,3025,76830.16894202324,185327.24451977946,16473.53284620262,13829.430409564184,0.0,0.0,0.0,131788.26276962095,2644.1024366384363,0.0,319013.588939168,0.0,0.0,0.0,672625.4689486127,0.0,0.0,0.0,0.0,162915.15282601686,16473.53284620262,672625.4689486126,1.0
