Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4657,63812.2648085552,129219.83623732427,11486.207665539936,11486.207665539936,0.0,65195.71470960467,0.0,91889.66132431949,0.0,0.0,203857.0653152599,0.0,601051.710498332,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,11486.207665539938,601051.710498332,1.0
 ,4658,75472.75667865906,105361.44567223833,9365.461837532297,13585.096202158631,0.0,53158.36138983331,0.0,74923.69470025838,0.0,4219.634364626334,199637.43095063357,0.0,500626.1436286857,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,9365.4618375323,500626.14362868574,1.0
 ,4659,47849.23416781418,96894.69918982373,8612.862150206554,8612.862150206553,0.0,48886.6055645724,0.0,68902.89720165243,0.0,0.0,199637.43095063357,0.0,450694.9272037774,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,8612.862150206556,450694.9272037774,1.0
 ,4660,46145.31516683621,93444.26321284335,8306.15673003052,8306.156730030518,0.0,47145.74559965322,0.0,66449.25384024416,0.0,0.0,199637.43095063357,0.0,434645.6076386283,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,8306.15673003052,434645.6076386282,1.0
 ,4661,48267.74058910702,97742.17469294171,8688.193306039264,8688.193306039264,0.0,49314.18520507886,0.0,69505.54644831411,0.0,0.0,199637.43095063357,0.0,454636.86534258595,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,8688.193306039266,454636.86534258595,1.0
 ,4662,51546.040889234246,104380.73280069932,9278.287360062162,9278.287360062164,0.0,52663.55905571282,0.0,74226.2988804973,0.0,0.0,199637.43095063357,0.0,485515.38076325285,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,9278.287360062162,485515.38076325285,1.0
 ,4663,75472.75667865906,98750.05097094407,8777.782308528362,13585.096202158631,0.0,49822.69238320697,0.0,70222.2584682269,0.0,4807.313893630268,194830.1170569884,0.0,471343.17459753645,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,8777.782308528365,471343.1745975365,1.0
 ,4664,50400.130449980046,102060.26416120958,9072.023480996408,9072.02348099641,0.0,51492.8052781356,0.0,72576.18784797126,0.0,0.0,194830.1170569884,0.0,474721.97871651524,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,9072.023480996411,474721.9787165153,1.0
 ,4665,54963.84332979239,111301.7827428296,9893.491799362631,9893.491799362631,0.0,56155.45945318229,0.0,79147.93439490105,0.0,0.0,194830.1170569884,0.0,517707.8755635227,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,9893.491799362631,517707.8755635226,1.0
 ,4666,75472.75667865906,144255.25163306762,12822.689034050454,13585.096202158631,0.0,72781.58295727037,0.0,102581.51227240363,0.0,762.4071681081768,194067.70988888023,0.0,575429.1125960764,0.0,0.0,0.0,0.0,0.0,102593.87361485862,88858.71892776688,12822.689034050454,678022.9862109348,1.0
 ,4667,59896.240437886525,121289.88688672021,10781.323278819575,10781.323278819575,0.0,61194.7909305799,0.0,86250.5862305566,0.0,0.0,194067.70988888023,0.0,564166.4321994806,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,10781.323278819576,564166.4321994806,1.0
 ,4668,75472.75667865906,113858.78309281207,10120.780719361073,13585.096202158631,0.0,57445.551363093444,0.0,80966.24575488859,0.0,3464.3154827975577,190603.39440608266,0.0,538262.2672873101,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,10120.780719361075,538262.2672873101,1.0
 ,4669,53160.27994279231,107649.56688415444,9568.850389702617,9568.850389702617,0.0,54312.794811952044,0.0,76550.80311762093,0.0,0.0,190603.39440608266,0.0,500719.9992986573,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,9568.850389702618,500719.9992986573,1.0
 ,4670,75472.75667865906,113265.45279910618,10068.040248809439,13585.096202158631,0.0,57146.196452242366,0.0,80544.32199047551,0.0,3517.0559533491924,187086.33845273347,0.0,535634.3085281044,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,10068.04024880944,535634.3085281044,1.0
 ,4671,57205.84201528974,115841.83008096169,10297.05156275215,10297.051562752153,0.0,58446.0646701812,0.0,82376.4125020172,0.0,0.0,187086.33845273347,0.0,538825.40130714,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,10297.051562752154,538825.4013071401,1.0
 ,4672,50270.5927481513,101797.95031500638,9048.706694667235,9048.706694667235,0.0,51360.45919893122,0.0,72389.65355733788,0.0,0.0,187086.33845273347,0.0,473501.8550068839,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,9048.706694667237,473501.85500688397,1.0
 ,4673,75472.75667865906,93282.9361217969,8291.816544159725,13585.096202158631,0.0,47064.35070465059,0.0,66334.5323532778,0.0,5293.279657998908,181793.05879473456,0.0,447128.41174485534,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,8291.816544159725,447128.41174485534,1.0
 ,4674,45836.417570167694,92818.74557958958,8250.555162630186,8250.555162630186,0.0,46830.15110308893,0.0,66004.44130104149,0.0,0.0,181793.05879473456,0.0,431736.08186950773,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,8250.555162630188,431736.0818695078,1.0
 ,4675,37964.511074421505,76878.13492570355,6833.611993395871,6833.611993395872,0.0,38787.58167451496,0.0,54668.895947166966,0.0,0.0,181793.05879473456,0.0,357590.1025919183,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,6833.611993395872,357590.1025919183,1.0
 ,5011,62457.101158654594,126475.62984627555,11242.278208557827,11242.278208557827,0.0,63811.17111177422,0.0,89938.22566846262,0.0,0.0,181793.05879473456,0.0,588287.33938219,0.0,0.0,0.0,0.0,0.0,0.0,88858.71892776688,11242.278208557826,588287.3393821899,1.0
 ,5012,75472.75667865906,152832.3322742846,13585.096202158631,13585.096202158631,0.0,77109.00604345238,0.0,108680.76961726905,0.0,0.0,181793.05879473456,0.0,704105.236127184,0.0,0.0,0.0,0.0,0.0,7134.080080419019,81724.63884734786,13585.096202158631,711239.316207603,1.0
 ,5013,75472.75667865906,143567.6785133716,12761.571423410807,13585.096202158631,0.0,72434.67939927973,0.0,102092.57138728646,0.0,823.5247787478238,180969.53401598675,0.0,669847.9165875383,0.0,0.0,0.0,0.0,0.0,0.0,81724.63884734786,12761.571423410809,669847.9165875383,1.0
 ,5014,75472.75667865906,127251.09543645945,11311.20848324084,13585.096202158631,0.0,64202.419350875,0.0,90489.66786592672,0.0,2273.887718917791,178695.64629706895,0.0,597579.0507093817,0.0,0.0,0.0,0.0,0.0,0.0,81724.63884734786,11311.208483240842,597579.0507093816,1.0
 ,5015,59776.667174660004,121047.75102868651,10759.800091438801,10759.800091438801,0.0,61072.62531900663,0.0,86078.40073151041,0.0,0.0,178695.64629706895,0.0,563040.164159821,0.0,0.0,0.0,0.0,0.0,0.0,81724.63884734786,10759.800091438801,563040.164159821,1.0
 ,5016,75472.75667865906,119304.70757432691,10604.862895495726,13585.096202158631,0.0,60193.20179483373,0.0,84838.9031639658,0.0,2980.2333066629053,175715.41299040604,0.0,562383.1744700195,0.0,0.0,0.0,0.0,0.0,0.0,81724.63884734786,10604.862895495726,562383.1744700195,1.0
 ,5017,55143.20322463219,111664.98652988015,9925.77658043379,9925.776580433794,0.0,56338.70787054219,0.0,79406.21264347032,0.0,0.0,175715.41299040604,0.0,519397.2776230121,0.0,0.0,0.0,0.0,0.0,0.0,81724.63884734786,9925.776580433794,519397.27762301214,1.0
 ,5018,75472.75667865906,109324.04441948845,9717.692837287863,13585.096202158631,0.0,55157.624544445905,0.0,77741.5426983029,0.0,3867.403364870768,171848.00962553528,0.0,518177.1539133809,0.0,0.0,0.0,0.0,0.0,0.0,81724.63884734786,9717.692837287865,518177.1539133809,1.0
 ,5019,51825.04517009612,104945.71646944464,9328.508130617302,9328.508130617302,0.0,52948.6121493838,0.0,74628.06504493841,0.0,0.0,171848.00962553528,0.0,488143.3395224586,0.0,0.0,0.0,0.0,0.0,0.0,81724.63884734786,9328.508130617303,488143.33952245855,1.0
