Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3199,3719.7794136251655,4675.132596359497,1588.0939589603395,141.1639074631413,141.1639074631413,0.0,801.24633876079,0.0,1129.3112597051304,0.0,0.0,5076.623454594527,7983.571344104498,0.0,0.0,0.0,1254.710865301676,0.0,2204.349382844337,0.0,0.0,0.0,141.1639074631413,7033.932826561837,1.0
 ,3200,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5156.684198596153,9866.489113940464,0.0,0.0,0.0,1438.12763052734,0.0,206.15005883845333,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3201,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5236.744942597778,10845.606354255167,0.0,0.0,0.0,1870.383701441325,0.0,1617.5233700671415,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3202,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5316.805686599404,11508.393409237427,0.0,0.0,0.0,2456.8500463030023,0.0,2866.776769911079,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3203,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5396.86643060103,11854.850278887247,0.0,0.0,0.0,2512.926509556709,0.0,3269.3101028146048,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3204,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5476.927174602655,11869.913621045933,0.0,0.0,0.0,2149.5977580587373,0.0,2921.044693475318,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3205,3719.7794136251655,4675.132596359497,1588.0939589603395,141.1639074631413,141.1639074631413,0.0,801.24633876079,0.0,1129.3112597051304,0.0,0.0,5476.927174602655,11945.230331839372,0.0,0.0,0.0,1618.0396167996473,0.0,6529.337122077182,0.0,0.0,0.0,141.1639074631413,7033.932826561837,1.0
 ,3206,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5556.987918604281,11749.406883776432,0.0,0.0,0.0,1570.1409711037732,0.0,2221.081169250854,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3207,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5637.048662605906,11327.633303333174,0.0,0.0,0.0,2216.1885581725132,0.0,2445.355175876335,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3208,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5717.109406607532,10604.592879716163,0.0,0.0,0.0,4218.585600190271,0.0,3724.711794277083,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3209,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5797.170150609158,10062.312562003406,0.0,0.0,0.0,5616.99240257957,0.0,4580.8382789536245,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3210,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5877.230894610783,8766.86513635626,0.0,0.0,0.0,5680.078423739989,0.0,3348.476874466898,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3211,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,5957.291638612409,5814.450073253464,0.0,0.0,0.0,6777.0742361406155,0.0,1493.0576237647283,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3212,3719.7794136251655,4675.132596359497,2256.534009647551,200.58080085756012,141.1639074631413,0.0,1138.4966256675111,0.0,1604.646406860481,59.41689339441882,0.0,6016.708532006827,1717.2210060904015,0.0,0.0,0.0,8333.196091430964,0.0,0.0,0.0,0.0,0.0,200.58080085756012,10050.417097521366,1.0
 ,3213,3719.7794136251655,4675.132596359497,1588.0939589603395,141.1639074631413,141.1639074631413,0.0,801.24633876079,0.0,1129.3112597051304,0.0,0.0,6016.708532006827,0.0,0.0,0.0,0.0,8112.395017369496,0.0,1078.4621908076588,0.0,0.0,0.0,141.1639074631413,7033.932826561837,1.0
 ,3214,3719.7794136251655,4675.132596359497,1546.4548638592632,137.46265456526785,141.1639074631413,0.0,780.2380273124602,0.0,1099.7012365221428,0.0,3.701252897873445,6013.007279108953,0.0,0.0,0.0,0.0,6849.506334509988,0.0,0.0,0.0,0.0,0.0,137.46265456526788,6849.506334509988,1.0
 ,3215,3719.7794136251655,4675.132596359497,1270.8203196441973,112.96180619059533,141.1639074631413,0.0,641.171211937819,0.0,903.6944495247626,0.0,28.202101272545974,5984.805177836407,0.0,0.0,0.0,0.0,5628.674999090758,0.0,0.0,0.0,0.0,0.0,112.96180619059534,5628.674999090758,1.0
 ,3216,3719.7794136251655,4675.132596359497,1101.4831164039372,97.90961034701664,141.1639074631413,0.0,555.7349483296664,0.0,783.2768827761331,0.0,43.25429711612466,5941.550880720282,0.0,0.0,0.0,0.0,4878.652303072438,0.0,0.0,0.0,0.0,0.0,97.90961034701664,4878.652303072438,1.0
 ,3217,3719.7794136251655,4675.132596359497,868.0509904418958,77.16008803927963,141.1639074631413,0.0,437.9606597109511,0.0,617.280704314237,0.0,64.00381942386167,5877.547061296421,0.0,0.0,0.0,0.0,3844.7425118322303,0.0,0.0,0.0,0.0,0.0,77.16008803927963,3844.7425118322303,1.0
 ,3218,3719.7794136251655,4675.132596359497,0.0,0.0,141.1639074631413,0.0,0.0,0.0,0.0,0.0,141.1639074631413,5736.38315383328,0.0,0.0,0.0,0.0,2884.433078612512,0.0,2884.433078612512,0.0,0.0,0.0,0.0,0.0,1.0
 ,3219,3719.7794136251655,4675.132596359497,566.8312301609341,50.38499823652748,141.1639074631413,0.0,285.98524999052995,0.0,403.07998589221984,0.0,90.77890922661481,5645.604244606665,0.0,0.0,0.0,0.0,2510.5899902544706,0.0,0.0,0.0,0.0,0.0,50.38499823652747,2510.5899902544706,1.0
