Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3214,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,246.6603898401474,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359875,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3215,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,248.9343332577801,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359867,0.0,0.0,8.505477024444095e-12,-8.505477024444095e-12,134.16266164033468,6687.211381359876,1.0
 ,3216,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,251.20827667541283,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-1.7899132468588314e-12,-6.715563777585263e-12,134.16266164033468,6687.211381359875,1.0
 ,3217,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,253.48222009304556,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-1.7899132468588314e-12,-4.925650530726432e-12,134.16266164033468,6687.211381359875,1.0
 ,3218,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,255.75616351067828,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-1.5678686419338e-12,-3.3577818887926314e-12,134.16266164033468,6687.211381359875,1.0
 ,3219,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,258.030106928311,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-1.7899132468588314e-12,-1.5678686419338e-12,134.16266164033468,6687.211381359875,1.0
 ,3220,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,260.3040503459437,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-1.5678686419338e-12,0.0,134.16266164033468,6687.211381359875,1.0
 ,3221,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,262.57799376357644,0.0,725.4554766982897,0.0,0.0,0.0,0.0,5961.755904661586,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3222,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,264.85193718120917,0.0,2687.90554827956,0.0,0.0,0.0,0.0,3999.3058330803156,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3223,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,267.1258805988419,0.0,4724.761309778604,0.0,0.0,0.0,0.0,1962.450071581271,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3224,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,269.3998240164746,0.0,5840.846658545204,0.0,0.0,0.0,0.0,846.3647228146712,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3225,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,271.67376743410733,0.0,6352.385776729896,0.0,0.0,0.0,0.0,334.82560462997947,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3226,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,273.94771085174006,0.0,6482.595734085999,0.0,0.0,0.0,0.0,204.61564727387682,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3227,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,276.2216542693728,0.0,6519.798579044885,0.0,0.0,0.0,0.0,167.41280231499073,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3228,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,278.4955976870055,0.0,6752.316360037927,0.0,0.0,0.0,0.0,0.0,65.10497867805134,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3229,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,280.7695411046382,0.0,6538.400001524328,0.0,0.0,0.0,0.0,148.81137983554723,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
