Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4444,60025.98667092892,118170.51009304331,10504.04534160385,10804.677600767205,0.0,0.0,0.0,84032.3627328308,0.0,300.63225916335796,25946.491762107864,0.0,0.0,433814.0768578666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51606.00794418335,10504.04534160385,433814.0768578666,1.0
 ,4445,60025.98667092892,113352.48910292062,10075.7768091485,10804.677600767205,0.0,0.0,0.0,80606.214473188,0.0,728.9007916187056,25217.59097048916,0.0,0.0,417570.6544253335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51606.00794418335,10075.7768091485,417570.6544253334,1.0
 ,4446,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,7460.08823887876,6849.039928859423,25828.639280508498,0.0,0.0,426379.1868434707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51606.00794418335,0.0,11415.725910786543,477985.1947876541,1.0
 ,4447,60025.98667092892,121123.06945089163,10766.49506230148,10804.677600767205,0.0,0.0,0.0,86131.96049841183,0.0,38.182538465725884,25790.45674204277,0.0,19568.750151320623,424199.5525193807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10766.495062301477,443768.30267070123,1.0
 ,4448,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,26401.505052062108,0.0,169595.83464477875,423687.0941424289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124316.13192989054,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4449,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,26401.505052062108,0.0,282994.23295755975,379129.3513469989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216907.0895421119,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4450,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,27012.553362081446,0.0,333170.51539684343,394784.2641027882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258987.9826423145,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4451,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,27623.601672100784,0.0,353742.7911969497,418232.99412825186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303008.9884678845,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4452,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,28234.64998212012,0.0,359763.9450896637,433345.77047170186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324142.9187040485,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4453,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,28845.69829213946,0.0,357255.1309676996,438710.5139876256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326998.8480980081,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
