Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6186,15296.796943160374,30976.01380989976,2753.4234497688676,2753.4234497688676,0.0,15628.431500888091,0.0,22027.38759815094,0.0,144081.48645743652,0.0,0.0,0.0,0.0,0.0,0.0,1.0900165049903799e7,2753.4234497688676,144081.48645743652,1.0
 ,6187,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,96391.75167371047,0.0,0.0,0.0,0.0,0.0,546138.7587722745,1.0354026291131524e7,11757.034529851162,642530.5104459815,1.0
 ,6188,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,62199.11164009556,0.0,0.0,0.0,0.0,0.0,64048.00301197687,1.0289978288119547e7,2351.406905970233,126247.11465207243,1.0
 ,6189,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,40153.85688158068,0.0,0.0,0.0,0.0,0.0,87253.53433672937,1.0202724753782818e7,2351.4069059702324,127407.39121831003,1.0
 ,6190,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,45665.17057120939,0.0,0.0,0.0,0.0,0.0,81452.15150554126,1.0121272602277277e7,2351.4069059702324,127117.32207675063,1.0
 ,6191,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,55338.08847545572,0.0,0.0,0.0,0.0,0.0,71270.13265896616,1.0050002469618311e7,2351.4069059702324,126608.22113442188,1.0
 ,6192,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,76258.585338128,0.0,0.0,0.0,0.0,0.0,567331.5654413067,9.482670904177004e6,11757.034529851162,643590.1507794331,1.0
 ,6193,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,101003.25904666512,0.0,0.0,0.0,0.0,0.0,23201.532057692777,9.459469372119311e6,2351.406905970226,124204.7911043579,1.0
 ,6194,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,120349.09485515776,0.0,0.0,0.0,0.0,0.0,2837.4943645429603,9.456631877754768e6,2351.4069059702324,123186.58921970072,1.0
 ,6195,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,104040.10536544012,0.0,0.0,0.0,0.0,0.0,20004.85172214048,9.436627026032628e6,2351.4069059702324,124044.9570875806,1.0
