Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,42,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,115441.7564979668,0.0,844654.5627110521,0.0,0.0,0.0,33147.375935786054,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
 ,43,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,118490.26494908148,0.0,848739.9535826897,0.0,0.0,0.0,37232.76680742367,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
 ,44,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,121538.77340019617,0.0,865452.9162393885,0.0,0.0,0.0,53945.72946412244,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
 ,45,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,124587.28185131085,0.0,869909.7062811748,0.0,0.0,0.0,0.0,55621.44714848448,0.0,55621.44714848448,16174.249724707211,814288.2591326903,1.0
 ,46,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,22069.4516651672,19020.94321405251,127635.79030242556,0.0,878080.4880244499,0.0,0.0,0.0,0.0,0.0,0.0,55621.44714848448,16174.249724707211,878080.4880244498,1.0
 ,47,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,130684.29875354025,0.0,868052.7104304305,0.0,0.0,0.0,56545.523655164405,0.0,0.0,55621.44714848448,16174.249724707211,811507.1867752661,1.0
 ,48,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,133732.80720465494,0.0,875573.543625945,0.0,0.0,0.0,64066.356850678916,0.0,0.0,55621.44714848448,16174.249724707211,811507.1867752661,1.0
 ,49,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,136781.3156557696,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,55621.44714848448,16174.249724707211,811507.1867752661,1.0
 ,50,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,139829.8241068843,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,122827.01127065977,16174.249724707211,814867.4649813748,1.0
 ,51,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,142878.332557999,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,122827.01127065977,16174.249724707211,811507.1867752661,1.0
