Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3961,57979.99658111939,117409.49307676677,10436.399384601491,10436.399384601491,0.0,44427.75218024854,0.0,83491.19507681193,0.0,0.0,187769.95941432402,0.0,0.0,0.0,523186.1228995172,0.0,0.0,0.0,0.0,786.9453284141146,10436.399384601491,523186.12289951707,1.0
 ,3962,50802.134859336766,102874.32309015695,9144.384274680619,9144.384274680619,0.0,38927.643857315394,0.0,73155.07419744495,0.0,0.0,187769.95941432402,0.0,0.0,0.0,458416.239036654,0.0,0.0,0.0,0.0,786.9453284141146,9144.384274680619,458416.239036654,1.0
 ,3963,70328.2396267088,87146.75945627726,7746.378618335757,12659.083132807586,0.0,32976.33377825531,0.0,61971.028946686056,0.0,4912.704514471829,182857.2548998522,0.0,0.0,0.0,404435.7070819707,0.0,0.0,0.0,0.0,786.9453284141146,7746.378618335757,404435.7070819707,1.0
 ,3964,41880.418788946205,84807.84804761606,7538.475382010317,7538.475382010317,0.0,32091.289701217916,0.0,60307.803056082535,0.0,0.0,182857.2548998522,0.0,0.0,0.0,377910.5764682304,0.0,0.0,0.0,0.0,786.9453284141146,7538.475382010317,377910.57646823034,1.0
 ,3965,40252.03681638308,81510.37455317572,7245.366626948953,7245.366626948954,0.0,30843.52573092169,0.0,57962.933015591625,0.0,0.0,182857.2548998522,0.0,0.0,0.0,363216.7699649337,0.0,0.0,0.0,0.0,786.9453284141146,7245.366626948953,363216.7699649337,1.0
 ,3966,38736.591877357176,78441.59855164829,6972.586537924292,6972.586537924292,0.0,29682.30089194371,0.0,55780.69230339434,0.0,0.0,182857.2548998522,0.0,0.0,0.0,349542.05784232484,0.0,0.0,0.0,0.0,786.9453284141146,6972.586537924292,349542.05784232484,1.0
 ,3967,36547.2326519311,74008.14612016048,6578.501877347599,6578.501877347599,0.0,28004.682491868723,0.0,52628.01501878079,0.0,0.0,182857.2548998522,0.0,0.0,0.0,329786.23803674104,0.0,0.0,0.0,0.0,786.9453284141146,6578.501877347599,329786.23803674104,1.0
 ,3968,33695.38489932114,68233.15442112532,6065.1692818778065,6065.169281877806,0.0,25819.425632953822,0.0,48521.35425502245,0.0,0.0,182857.2548998522,0.0,0.0,0.0,304052.41160058056,0.0,0.0,0.0,0.0,786.9453284141146,6065.1692818778065,304052.41160058056,1.0
 ,3969,29922.60625652373,60593.27766946056,5386.069126174272,5386.069126174271,0.0,22928.496270123876,0.0,43088.55300939418,0.0,0.0,182857.2548998522,0.0,0.0,0.0,270008.5077186329,0.0,0.0,0.0,0.0,786.9453284141146,5386.069126174272,270008.5077186329,1.0
 ,3970,26616.0687634426,53897.53924597127,4790.892377419668,4790.892377419668,0.0,20394.828850675527,0.0,38327.139019357346,0.0,0.0,182857.2548998522,0.0,0.0,0.0,240171.759991222,0.0,0.0,0.0,0.0,786.9453284141146,4790.892377419668,240171.75999122203,1.0
