Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,7543,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475062,0.0,-1.2254244402835243e-10,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7544,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475063,0.0,0.0,0.0,0.0,10086.747728571943,415633.5462475063,1.0
 ,7545,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7546,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7547,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7548,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7549,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,1.1087173507327125e-10,0.0,1.1087173507327125e-10,10086.747728571943,415633.54624750634,1.0
 ,7550,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,1.1087173507327125e-10,0.0,2.217434701465425e-10,10086.747728571943,415633.54624750634,1.0
 ,7551,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475048,0.0,-1.497988780739414e-9,0.0,-1.2762453105928714e-9,10086.747728571945,415633.5462475063,1.0
 ,7552,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,-1.2762453105928714e-9,10086.747728571945,415633.5462475064,1.0
 ,7553,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475063,0.0,0.0,0.0,-1.2762453105928714e-9,10086.747728571943,415633.5462475063,1.0
 ,7554,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,-1.2762453105928714e-9,10086.747728571945,415633.5462475064,1.0
 ,7555,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.54624750774,0.0,1.2762453105928714e-9,0.0,0.0,10086.747728571945,415633.54624750646,1.0
 ,7556,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7557,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7558,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7559,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7560,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
