Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6313,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,91830.32107493453,723213.5556174532,181619.7648392227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43201.76913141098,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
 ,6314,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629335,0.0,97435.32327056387,890401.2777566892,183622.0970972825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212391.82352870703,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
 ,6315,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,103040.32546619319,954996.5340377578,194724.0770836408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288089.0597961339,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
 ,6316,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,108645.3276618225,946130.518469768,216644.20137020817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301143.16851471143,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
 ,6317,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629335,0.0,114250.32985745184,915732.7508080887,208693.717916799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262794.91739962285,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
 ,6318,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,119855.33205308116,828339.1687807608,193068.31439661223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138511.86748570076,20251.489872769147,0.0,20251.489872769147,16633.031562863118,862644.1258189032,1.0
 ,6319,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,125460.33424871048,729546.423880303,192359.78691508612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57404.437590594665,0.0,77655.92746336381,16633.031562863118,864501.7732047945,1.0
 ,6320,61266.82981796551,167904.0802399207,14924.807132437396,11028.029367233792,0.0,84713.20528371465,0.0,119398.45705949917,3896.7777652036043,0.0,129357.11201391408,582623.8801821865,192284.31973117142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,14924.807132437394,774908.1999133579,1.0
 ,6321,53226.823190932184,107784.31696163767,9580.828174367793,9580.828174367793,0.0,54380.78071771158,0.0,76646.62539494234,0.0,0.0,129357.11201391408,317909.9867950626,183436.7875167771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,9580.828174367794,501346.7743118397,1.0
 ,6322,13318.261389549434,26969.479313837604,2397.287050118898,2397.287050118898,0.0,13607.001296474864,0.0,19178.296400951185,0.0,0.0,129357.11201391408,0.0,125445.536419503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,2397.287050118899,125445.53641950301,1.0
 ,6323,61266.82981796551,24915.28594252466,2214.69208377997,11028.029367233792,0.0,12570.592267535107,0.0,17717.53667023976,0.0,8813.337283453822,120543.77473046027,0.0,137924.02740518327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,2214.69208377997,137924.02740518327,1.0
 ,6324,12253.365963593104,21577.65061927975,1918.0133883804222,2205.605873446759,0.0,10886.643992447274,0.0,15344.107107043377,0.0,287.5924850663366,120256.18224539392,0.0,101085.02555151013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,1918.0133883804224,101085.02555151013,1.0
