Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6802,60921.41392016949,123365.86318834321,10965.854505630508,10965.854505630508,0.0,46681.64263046907,0.0,87726.83604504407,0.0,0.0,15487.097226137283,0.0,387864.92300681846,0.0,0.0,161863.26309020087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10965.854505630508,549728.1860970194,1.0
 ,6803,61442.22288073098,132035.71874845226,11736.508333195758,11059.600118531576,0.0,49962.315974414334,0.0,93892.06666556606,676.908214664181,0.0,16164.005440801464,0.0,446472.6957531799,0.0,0.0,140306.60146699828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11736.508333195761,586779.2972201782,1.0
 ,6804,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112336,0.0,16901.310340612697,0.0,472813.2677740164,0.0,0.0,122490.4370618538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5637.861292873335,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
 ,6805,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,17638.615240423933,0.0,479398.4107792256,0.0,0.0,114192.84735106962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.490083141119,0.0,3738.490083141119,11796.905018342813,589852.768047154,1.0
 ,6806,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,18375.92014023517,0.0,484666.52518339286,0.0,0.0,110552.90860748324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5553.590247879096,0.0,0.0,3738.490083141119,11796.905018342813,589665.8435429969,1.0
 ,6807,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,19113.225040046404,0.0,485325.0394839138,0.0,0.0,124785.46242954093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20444.658370457822,0.0,0.0,3738.490083141119,11796.905018342813,589665.8435429969,1.0
 ,6808,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,19850.52993985764,0.0,472154.7534734955,0.0,0.0,180011.59335983358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.503290332155,0.0,0.0,3738.490083141119,11796.905018342813,589665.8435429969,1.0
 ,6809,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,20587.834839668874,0.0,432643.8954422407,0.0,0.0,273252.16876720707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116230.22066645074,0.0,0.0,3738.490083141119,11796.905018342813,589665.8435429969,1.0
 ,6810,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,21325.13973948011,0.0,329257.1502604571,0.0,0.0,347200.8509143876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30110.76070117246,53982.28279111944,0.0,57720.77287426056,11796.905018342813,592364.957682553,1.0
 ,6811,51438.626787647925,104163.21924498705,9258.952821776627,9258.952821776627,0.0,39415.3621623031,0.0,74071.62257421302,0.0,0.0,21325.13973948011,0.0,73753.60165834239,0.0,0.0,335571.32784362533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57720.77287426056,0.0,9258.952821776627,467045.7023762283,1.0
