Informations,Time,MeOH biogas H2,Biogas,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6445,52101.06288778051,65482.21018682795,32765.197772198197,2912.4620241953953,1977.2112274405633,0.0,0.0,0.0,935.2507967548321,0.0,126949.0273492162,48591.72737677881,78187.68081184232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2912.4620241953953,126779.40818862114,1.0
 ,6446,52101.06288778051,65482.21018682795,33762.35992023906,3001.098659576806,1977.2112274405633,0.0,0.0,0.0,1023.8874321362426,0.0,127972.91478135243,42909.63022384903,87784.69195587769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0986595768068,130694.32217972672,1.0
 ,6447,52101.06288778051,65482.21018682795,33957.905822388966,3018.480517545686,1977.2112274405633,0.0,0.0,0.0,1041.2692901051225,0.0,129014.18407145755,32133.239071740827,99328.80718348762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.480517545687,131462.04625522846,1.0
 ,6448,52101.06288778051,65482.21018682795,26487.7957804153,2354.4707360369157,1977.2112274405633,0.0,0.0,0.0,377.25950859635253,0.0,129391.4435800539,10188.587998356847,91945.39122596955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2354.470736036916,102133.9792243264,1.0
 ,6449,52101.06288778051,65482.21018682795,22527.712807239343,2002.4633606434973,1977.2112274405633,0.0,0.0,0.0,25.25213320293388,0.0,129416.69571325682,1959.3438458378553,84627.1296211901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.4633606434975,86586.47346702796,1.0
 ,6450,52101.06288778051,65482.21018682795,27014.44997914851,2401.284442590979,1977.2112274405633,0.0,0.0,0.0,424.0732151504151,0.0,129840.76892840724,0.0,104201.65286711956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2401.284442590979,104201.65286711956,1.0
 ,6451,52101.06288778051,65482.21018682795,30364.596878973338,2699.0752781309634,1977.2112274405633,0.0,0.0,0.0,721.8640506903994,0.0,130562.63297909765,0.0,117354.51571510403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.0752781309634,117354.51571510403,1.0
 ,6452,52101.06288778051,65482.21018682795,33941.31585191194,3017.0058535032836,1977.2112274405633,0.0,0.0,0.0,1039.7946260627202,0.0,131602.42760516037,0.0,131396.91310947062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.005853503284,131396.91310947062,1.0
 ,6453,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,132759.11158400972,0.0,137568.16902748114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.4723729612015,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,6454,52101.06288778051,65482.21018682795,33554.82667866883,2982.6512603261185,1977.2112274405633,0.0,0.0,0.0,1005.4400328855553,0.0,133764.55161689527,0.0,129879.53514369745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2982.651260326119,129879.53514369745,1.0
