Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2140,3652.5263107504907,4590.6068386481575,799.9596901784807,71.10752801586496,138.6116833296254,0.0,0.0,0.0,568.8602241269197,0.0,67.50415531376045,3374.7316716314026,0.0,0.0,0.0,0.0,0.0,3073.845109510813,0.0,0.0,0.0,0.0,0.0,71.10752801586496,3073.8451095108126,1.0
 ,2141,3652.5263107504907,4590.6068386481575,897.0646236683541,79.73907765940926,138.6116833296254,0.0,0.0,0.0,637.9126212752741,0.0,58.872605670216146,3315.8590659611864,0.0,0.0,0.0,0.0,0.0,3446.9708164456515,0.0,0.0,0.0,0.0,0.0,79.73907765940926,3446.970816445651,1.0
 ,2142,3652.5263107504907,4590.6068386481575,746.1628853769912,66.32558981128811,138.6116833296254,0.0,0.0,0.0,530.6047184903049,0.0,72.2860935183373,3243.5729724428497,0.0,13.04653226127151,0.0,0.0,0.0,2854.084354799818,0.0,0.0,0.0,0.0,0.0,66.32558981128811,2867.1308870610887,1.0
 ,2143,3652.5263107504907,4590.6068386481575,1169.4743618103862,103.95327660536766,138.6116833296254,0.0,0.0,0.0,831.6262128429413,0.0,34.65840672425776,3208.914565718592,0.0,1787.374919794197,0.0,0.0,0.0,2706.3303154622126,0.0,0.0,0.0,0.0,0.0,103.95327660536766,4493.705235256409,1.0
 ,2144,3652.5263107504907,4590.6068386481575,1214.1423648228351,107.92376576202979,138.6116833296254,0.0,0.0,0.0,863.3901260962383,0.0,30.68791756759562,3178.226648150996,0.0,3248.586533056606,0.0,0.0,0.0,1416.7555037751388,0.0,0.0,0.0,0.0,0.0,107.92376576202979,4665.342036831744,1.0
 ,2145,3652.5263107504907,4590.6068386481575,1069.9956743135645,95.11072660565019,138.6116833296254,0.0,0.0,0.0,760.8858128452015,0.0,43.50095672397522,3134.7256914270206,0.0,3326.865726624235,0.0,0.0,0.0,784.5926519256379,0.0,0.0,0.0,0.0,0.0,95.11072660565019,4111.458378549872,1.0
 ,2146,3652.5263107504907,4590.6068386481575,1111.8910452505452,98.83475957782623,138.6116833296254,0.0,0.0,0.0,790.6780766226099,0.0,39.776923751799174,3094.9487676752215,0.0,3287.7261298404205,0.0,0.0,0.0,984.7152115347996,0.0,0.0,0.0,0.0,0.0,98.83475957782623,4272.441341375219,1.0
 ,2147,3652.5263107504907,4590.6068386481575,1223.6277877884027,108.76691447008024,138.6116833296254,0.0,0.0,0.0,870.1353157606419,0.0,29.84476885954517,3065.1039988156763,0.0,2987.6558878311757,0.0,0.0,0.0,1714.133886745762,0.0,0.0,0.0,0.0,0.0,108.76691447008024,4701.789774576938,1.0
 ,2148,3652.5263107504907,4590.6068386481575,1077.005752864748,95.73384469908872,138.6116833296254,0.0,0.0,0.0,765.8707575927098,0.0,42.87783863053669,3022.2261601851396,0.0,2844.144032957189,0.0,0.0,0.0,1294.2505724256055,0.0,0.0,0.0,0.0,0.0,95.73384469908872,4138.394605382795,1.0
 ,2149,3652.5263107504907,4590.6068386481575,951.5509374167206,84.58230554815295,138.6116833296254,0.0,0.0,0.0,676.6584443852236,0.0,54.02937778147246,2968.196782403667,0.0,2439.7015328577722,0.0,0.0,0.0,1216.6329441659773,0.0,0.0,0.0,0.0,0.0,84.58230554815295,3656.334477023749,1.0
