Informations,Time,CO2 DAC,MeOH,H2O sea,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,66,20282.570832513138,14804.796228111778,32072.890669315315,2850.92361505025,2814.6000433672584,0.0,10067.26143511601,0.0,22807.388920402,36.323571682990675,0.0,24679.350465977914,0.0,158111.49821864188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,2850.92361505025,158111.4982186419,1.0
 ,67,20282.570832513138,14804.79622811178,14767.992488109681,1312.7104433875272,2814.6000433672584,0.0,10067.261435116012,0.0,10501.683547100218,0.0,1501.8895999797317,23177.460865998182,0.0,91509.73698270712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,1312.7104433875272,91509.73698270711,1.0
 ,68,18989.49174624128,13860.942880468088,0.0,0.0,2635.160243434998,0.0,9425.4411587183,0.0,0.0,0.0,2635.160243434998,20542.300622563183,0.0,32488.664017529154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,0.0,32488.664017529154,1.0
 ,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20542.300622563183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,0.0,0.0,1.0
 ,70,20282.570832513138,14804.79622811178,0.0,0.0,2814.6000433672584,0.0,10067.261435116012,0.0,0.0,0.0,2814.6000433672584,17727.700579195924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.328293759165,144880.12263905682,0.0,36527.32829375916,1.0
 ,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17727.700579195924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144880.12263905682,0.0,0.0,1.0
 ,72,20282.570832513138,14804.79622811178,0.0,0.0,2814.6000433672584,0.0,10067.261435116012,0.0,0.0,0.0,2814.6000433672584,14913.100535828664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.328293759165,108352.79434529765,0.0,36527.32829375916,1.0
 ,73,20282.570832513138,14804.79622811178,0.0,0.0,2814.6000433672584,0.0,10067.261435116012,0.0,0.0,0.0,2814.6000433672584,12098.500492461408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.328293759165,71825.46605153847,0.0,36527.32829375916,1.0
 ,74,4056.5141665026285,2960.9592456223563,0.0,0.0,562.9200086734518,0.0,2013.4522870232024,0.0,0.0,0.0,562.9200086734518,11535.580483787955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7305.465658751084,64520.00039278739,0.0,7305.465658751796,1.0
 ,75,4056.5141665026285,2960.9592456223563,0.0,0.0,562.9200086734518,0.0,2013.4522870232024,0.0,0.0,0.0,562.9200086734518,10972.660475114502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7305.465658751833,57214.53473403556,0.0,7305.465658751833,1.0
 ,76,4056.5141665026285,2960.9592456223563,0.0,0.0,562.9200086734518,0.0,2013.4522870232024,0.0,0.0,0.0,562.9200086734518,10409.74046644105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7305.465658751833,49909.069075283725,0.0,7305.465658751833,1.0
 ,77,4056.5141665026285,2960.9592456223563,0.0,0.0,562.9200086734518,0.0,2013.4522870232024,0.0,0.0,0.0,562.9200086734518,9846.820457767597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7305.46565875184,42603.603416531885,0.0,7305.465658751833,1.0
 ,78,19600.036815457457,14306.596215662375,0.0,0.0,2719.885212103113,0.0,9728.485426650415,0.0,0.0,0.0,2719.885212103113,7126.935245664483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35298.137757780045,7305.46565875184,0.0,35298.137757780045,1.0
