Informations,Time,Biomass bamboo 2,Biochar,DME-B2,H2O sea,H2_from_SOEC_HI,H2_pipeline_to_Bamboo-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3516,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,32871.47250344591,71789.06778682172,28782.91036726863,25684.96726420555,0.0,62845.57587634614,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3517,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,33404.06326380685,73065.75435485001,28543.996805850627,25728.35853255041,0.0,63926.74015130129,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3518,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,33936.65402416779,72869.34103669181,29168.92660074857,26140.525647128452,0.0,64767.423742619074,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3519,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,34469.244784528724,70905.20785510982,30213.41306323895,26689.449049842882,0.0,64396.70042624189,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3520,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,35001.83554488966,53620.83585718832,29417.01787292132,25886.130884551003,0.0,45512.61507271088,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3521,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609376,0.0,35534.4263052506,37809.5637454533,29176.823506045475,25756.569624961536,0.0,29331.587334510546,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3522,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,3847.0263309692687,3314.4355706083315,36067.017065611384,17677.198634237906,30741.30909719656,27327.53440387058,0.0,0.0,8780.098244746141,0.0,8780.098244746141,1787.4455655794152,66965.9438905589,1.0
 ,3523,14068.428192265406,0.0,9135.342981990523,19358.14648866763,1720.7241323260116,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,13765.793058608093,465.86932710753325,0.0,36532.886392718916,5303.159590271372,28966.60185985197,26791.950268464145,0.0,0.0,0.0,0.0,8780.098244746141,1720.7241323260118,61061.711718587496,1.0
 ,3524,14068.428192265406,0.0,9135.342981990523,18080.120369503886,1607.1218106225676,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,12856.974484980541,352.2670054040896,0.0,36885.153398123,294.61997723729843,28326.37150094569,28440.107979441127,0.0,0.0,0.0,0.0,8780.098244746141,1607.1218106225679,57061.099457624114,1.0
 ,3525,14068.428192265406,0.0,9135.342981990523,15112.110285716884,1343.2986920637231,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,10746.389536509785,88.4438868452449,0.0,36973.597284968244,0.0,23395.21604823681,24375.104955163944,0.0,0.0,0.0,0.0,8780.098244746141,1343.2986920637234,47770.32100340075,1.0
